Activity,DietPreference,SleepHours,Age,RecommendedDiet
Medium,Vegan,6.6,68,Balanced
Low,Non-Veg,5.3,64,Low Carb
High,Vegan,7.1,57,High Protein
Low,Non-Veg,9.1,29,Low Carb
Medium,Vegan,5.8,69,Balanced
Low,Non-Veg,7.5,23,Low Carb
Low,Non-Veg,5.2,27,Low Carb
High,Non-Veg,5.4,19,Balanced
High,Non-Veg,9.0,62,Balanced
Medium,Vegan,8.0,42,Balanced
Low,Vegan,7.5,24,Balanced
Low,Non-Veg,4.0,57,Low Carb
High,Non-Veg,6.2,40,Balanced
Low,Vegan,7.9,65,Balanced
Low,Non-Veg,4.8,28,Low Carb
Low,Non-Veg,6.5,53,Low Carb
High,Non-Veg,8.1,66,Balanced
Medium,Veg,4.7,65,Balanced
Medium,Non-Veg,4.5,68,Mediterranean
Low,Veg,4.8,40,Balanced
Medium,Non-Veg,7.5,60,Mediterranean
High,Vegan,6.2,24,High Protein
High,Veg,8.3,44,Balanced
Medium,Veg,7.2,30,Balanced
Medium,Non-Veg,9.8,68,Mediterranean
Low,Non-Veg,5.1,34,Low Carb
Medium,Veg,7.5,49,Balanced
Low,Vegan,5.8,43,Balanced
Low,Vegan,7.9,39,Balanced
High,Non-Veg,7.2,30,Balanced
High,Vegan,5.5,29,High Protein
High,Vegan,6.8,24,High Protein
High,Non-Veg,7.1,18,Balanced
Medium,Vegan,6.1,50,Balanced
High,Non-Veg,8.1,69,Balanced
Medium,Veg,5.5,31,Balanced
High,Non-Veg,10.0,64,Balanced
Medium,Veg,8.4,60,Balanced
Low,Veg,7.5,58,Balanced
Medium,Vegan,10.0,34,Balanced
Medium,Vegan,6.5,21,Balanced
High,Vegan,7.9,69,High Protein
Medium,Non-Veg,7.3,68,Mediterranean
Low,Vegan,8.2,56,Balanced
Low,Veg,9.2,18,Balanced
High,Vegan,7.8,58,High Protein
Low,Vegan,8.6,62,Balanced
Medium,Non-Veg,6.2,41,Mediterranean
Low,Non-Veg,6.7,51,Low Carb
High,Veg,9.5,51,Balanced
Medium,Non-Veg,7.9,41,Mediterranean
High,Vegan,7.4,32,High Protein
Medium,Non-Veg,5.9,34,Mediterranean
Low,Veg,8.4,30,Balanced
High,Vegan,5.8,24,High Protein
High,Veg,5.4,26,Balanced
Medium,Non-Veg,7.2,61,Mediterranean
High,Non-Veg,4.0,52,Balanced
Medium,Veg,7.9,40,Balanced
Medium,Vegan,7.6,64,Balanced
Medium,Non-Veg,6.5,56,Mediterranean
Medium,Non-Veg,6.6,40,Mediterranean
Low,Vegan,6.8,43,Balanced
Medium,Non-Veg,5.8,18,Mediterranean
High,Veg,7.3,31,Balanced
Low,Non-Veg,6.6,49,Low Carb
High,Non-Veg,7.2,68,Balanced
Low,Vegan,6.8,65,Balanced
Medium,Veg,6.5,27,Balanced
Low,Vegan,7.4,18,Balanced
Low,Non-Veg,8.2,22,Low Carb
High,Non-Veg,6.2,20,Balanced
High,Vegan,7.6,66,High Protein
Medium,Vegan,7.8,67,Balanced
Low,Vegan,5.1,44,Balanced
Low,Veg,8.5,68,Balanced
Low,Non-Veg,10.0,39,Low Carb
Medium,Vegan,6.9,35,Balanced
Medium,Non-Veg,6.7,33,Mediterranean
Medium,Veg,6.7,19,Balanced
Medium,Veg,7.9,64,Balanced
Medium,Veg,7.8,30,Balanced
High,Veg,4.6,62,Balanced
Low,Non-Veg,5.7,33,Low Carb
Low,Veg,7.8,25,Balanced
Low,Veg,6.8,60,Balanced
Low,Vegan,5.3,25,Balanced
Low,Veg,9.3,27,Balanced
Low,Vegan,5.8,50,Balanced
Low,Veg,7.1,48,Balanced
Low,Veg,6.7,29,Balanced
High,Vegan,5.4,26,High Protein
Low,Veg,7.3,54,Balanced
High,Non-Veg,7.6,26,Balanced
Medium,Non-Veg,6.3,65,Mediterranean
Low,Veg,6.5,35,Balanced
Medium,Non-Veg,7.9,47,Mediterranean
Medium,Vegan,4.0,49,Balanced
Medium,Veg,5.7,57,Balanced
High,Veg,7.3,40,Balanced
Medium,Vegan,6.2,28,Balanced
Medium,Vegan,6.2,37,Balanced
Medium,Vegan,8.4,36,Balanced
Low,Veg,6.1,53,Balanced
Low,Vegan,10.0,69,Balanced
High,Vegan,4.4,43,High Protein
High,Non-Veg,4.0,27,Balanced
Low,Non-Veg,8.3,41,Low Carb
High,Veg,5.5,30,Balanced
Low,Non-Veg,5.5,69,Low Carb
Medium,Non-Veg,8.5,63,Mediterranean
Medium,Vegan,6.3,51,Balanced
High,Vegan,8.4,46,High Protein
Low,Non-Veg,6.1,53,Low Carb
Low,Non-Veg,7.5,24,Low Carb
High,Non-Veg,6.2,68,Balanced
Low,Veg,5.6,47,Balanced
Medium,Veg,9.6,34,Balanced
High,Veg,8.7,65,Balanced
High,Non-Veg,5.9,30,Balanced
Low,Non-Veg,6.7,41,Low Carb
High,Veg,9.2,48,Balanced
Low,Veg,5.5,44,Balanced
Low,Non-Veg,5.6,67,Low Carb
Low,Vegan,7.7,38,Balanced
Low,Veg,10.0,61,Balanced
Low,Non-Veg,7.1,18,Low Carb
High,Non-Veg,8.6,32,Balanced
Medium,Vegan,5.5,20,Balanced
Medium,Non-Veg,7.5,23,Mediterranean
High,Non-Veg,6.5,31,Balanced
High,Veg,9.8,55,Balanced
Medium,Veg,9.4,50,Balanced
Medium,Vegan,10.0,69,Balanced
Medium,Vegan,6.0,55,Balanced
Medium,Non-Veg,7.1,25,Mediterranean
Medium,Veg,7.6,43,Balanced
Low,Vegan,6.0,32,Balanced
High,Vegan,7.2,31,High Protein
Low,Vegan,8.4,65,Balanced
Medium,Non-Veg,6.2,37,Mediterranean
Medium,Veg,5.9,65,Balanced
Medium,Vegan,5.8,36,Balanced
Low,Veg,5.0,50,Balanced
Low,Vegan,8.3,53,Balanced
Medium,Vegan,5.9,41,Balanced
Low,Veg,5.8,27,Balanced
Low,Veg,7.8,69,Balanced
Medium,Veg,7.0,67,Balanced
Low,Non-Veg,6.2,51,Low Carb
High,Vegan,8.2,53,High Protein
High,Non-Veg,6.2,64,Balanced
High,Veg,4.0,53,Balanced
High,Vegan,9.0,33,High Protein
Medium,Non-Veg,5.8,32,Mediterranean
Medium,Vegan,5.9,35,Balanced
Medium,Non-Veg,5.9,24,Mediterranean
High,Veg,7.1,64,Balanced
High,Non-Veg,6.6,39,Balanced
Low,Vegan,8.5,49,Balanced
Low,Vegan,9.5,60,Balanced
High,Vegan,6.0,36,High Protein
High,Vegan,5.6,57,High Protein
High,Veg,6.2,18,Balanced
High,Non-Veg,7.7,52,Balanced
Low,Veg,6.8,22,Balanced
High,Veg,6.2,67,Balanced
Low,Veg,5.1,29,Balanced
High,Vegan,4.0,29,High Protein
High,Vegan,5.5,38,High Protein
High,Vegan,8.9,36,High Protein
Low,Non-Veg,7.7,26,Low Carb
Low,Vegan,6.7,60,Balanced
Medium,Non-Veg,8.1,66,Mediterranean
High,Vegan,5.1,65,High Protein
Medium,Vegan,7.1,53,Balanced
Medium,Veg,4.3,59,Balanced
Low,Veg,7.5,64,Balanced
Low,Veg,7.4,68,Balanced
Medium,Non-Veg,7.4,49,Mediterranean
High,Non-Veg,8.8,52,Balanced
Low,Vegan,8.2,48,Balanced
High,Non-Veg,5.2,49,Balanced
High,Vegan,8.8,54,High Protein
Medium,Non-Veg,6.7,49,Mediterranean
Medium,Non-Veg,4.0,60,Mediterranean
Medium,Non-Veg,6.8,54,Mediterranean
Medium,Veg,8.0,56,Balanced
Low,Non-Veg,5.5,55,Low Carb
Low,Veg,9.0,47,Balanced
Medium,Veg,5.6,49,Balanced
Low,Non-Veg,6.3,62,Low Carb
Medium,Vegan,6.0,19,Balanced
High,Vegan,4.4,68,High Protein
High,Vegan,5.5,28,High Protein
High,Non-Veg,5.9,37,Balanced
Medium,Vegan,6.8,54,Balanced
High,Veg,4.0,26,Balanced
Low,Vegan,8.1,55,Balanced
High,Non-Veg,8.1,66,Balanced
High,Vegan,8.8,36,High Protein
High,Veg,4.8,57,Balanced
Low,Non-Veg,6.6,24,Low Carb
Medium,Vegan,8.4,22,Balanced
Low,Non-Veg,8.5,64,Low Carb
Medium,Non-Veg,9.2,59,Mediterranean
Medium,Non-Veg,7.2,41,Mediterranean
High,Vegan,6.9,65,High Protein
Medium,Non-Veg,4.7,58,Mediterranean
Low,Vegan,8.6,24,Balanced
Low,Veg,6.3,28,Balanced
Medium,Vegan,7.1,26,Balanced
High,Veg,7.0,66,Balanced
High,Vegan,4.0,47,High Protein
Low,Non-Veg,5.8,58,Low Carb
High,Vegan,7.7,20,High Protein
Medium,Non-Veg,6.9,39,Mediterranean
Medium,Veg,7.7,57,Balanced
Low,Vegan,8.2,68,Balanced
Medium,Non-Veg,5.8,37,Mediterranean
Low,Veg,6.2,49,Balanced
Medium,Veg,6.8,65,Balanced
Low,Vegan,8.2,24,Balanced
High,Veg,6.6,24,Balanced
Medium,Non-Veg,4.3,37,Mediterranean
Medium,Veg,6.7,42,Balanced
Low,Veg,8.1,62,Balanced
Low,Non-Veg,9.0,52,Low Carb
Medium,Veg,7.4,61,Balanced
Low,Veg,4.8,41,Balanced
Medium,Veg,6.4,57,Balanced
High,Veg,7.7,30,Balanced
Low,Non-Veg,8.3,69,Low Carb
Medium,Veg,7.8,65,Balanced
High,Non-Veg,6.6,56,Balanced
High,Veg,8.3,21,Balanced
Medium,Veg,6.0,29,Balanced
Low,Veg,7.3,34,Balanced
Medium,Veg,8.1,18,Balanced
High,Non-Veg,7.9,34,Balanced
Medium,Non-Veg,7.9,19,Mediterranean
Low,Non-Veg,7.9,23,Low Carb
High,Vegan,5.4,61,High Protein
Medium,Veg,7.0,28,Balanced
Low,Veg,5.6,60,Balanced
High,Non-Veg,6.6,35,Balanced
Low,Vegan,5.2,57,Balanced
High,Veg,7.5,42,Balanced
Medium,Non-Veg,4.1,56,Mediterranean
Low,Veg,7.9,45,Balanced
High,Veg,7.0,63,Balanced
Low,Non-Veg,9.9,33,Low Carb
Low,Non-Veg,6.7,29,Low Carb
Medium,Veg,6.7,58,Balanced
Low,Veg,8.0,69,Balanced
High,Non-Veg,6.8,46,Balanced
High,Veg,7.4,40,Balanced
High,Veg,8.5,38,Balanced
High,Non-Veg,6.6,33,Balanced
Medium,Veg,8.8,68,Balanced
Low,Veg,4.5,65,Balanced
Medium,Vegan,9.4,58,Balanced
Low,Non-Veg,4.3,62,Low Carb
Low,Vegan,9.0,43,Balanced
Low,Vegan,4.2,54,Balanced
Medium,Vegan,10.0,39,Balanced
Low,Veg,7.2,68,Balanced
Medium,Veg,5.6,27,Balanced
High,Vegan,9.8,24,High Protein
High,Vegan,5.4,26,High Protein
Low,Vegan,6.7,42,Balanced
Medium,Veg,10.0,63,Balanced
High,Vegan,7.6,32,High Protein
Medium,Vegan,4.0,30,Balanced
Medium,Non-Veg,6.6,59,Mediterranean
Low,Non-Veg,6.5,63,Low Carb
High,Veg,7.3,43,Balanced
Low,Non-Veg,6.9,38,Low Carb
Low,Non-Veg,7.8,40,Low Carb
High,Non-Veg,4.7,61,Balanced
High,Veg,6.2,45,Balanced
Medium,Non-Veg,7.5,68,Mediterranean
High,Veg,5.9,55,Balanced
Medium,Vegan,8.6,29,Balanced
Medium,Non-Veg,5.9,41,Mediterranean
Medium,Veg,7.2,30,Balanced
High,Non-Veg,6.8,57,Balanced
Low,Vegan,5.5,65,Balanced
Medium,Veg,7.1,19,Balanced
Low,Veg,5.0,56,Balanced
Low,Veg,6.3,29,Balanced
High,Vegan,7.0,56,High Protein
Low,Vegan,4.9,68,Balanced
Low,Vegan,7.9,31,Balanced
High,Veg,7.4,47,Balanced
Medium,Vegan,7.8,58,Balanced
Low,Non-Veg,7.0,67,Low Carb
High,Vegan,5.3,60,High Protein
Low,Veg,7.0,65,Balanced
Low,Non-Veg,7.9,36,Low Carb
Medium,Vegan,5.2,48,Balanced
Low,Non-Veg,5.3,60,Low Carb
High,Non-Veg,6.6,67,Balanced
Low,Veg,6.4,60,Balanced
Medium,Non-Veg,7.0,42,Mediterranean
Medium,Non-Veg,6.6,21,Mediterranean
High,Veg,7.2,67,Balanced
Medium,Veg,8.8,68,Balanced
Low,Veg,7.8,30,Balanced
Medium,Non-Veg,7.1,53,Mediterranean
High,Non-Veg,5.3,59,Balanced
Medium,Non-Veg,5.9,54,Mediterranean
Medium,Veg,8.3,20,Balanced
Medium,Vegan,6.3,33,Balanced
High,Non-Veg,5.5,43,Balanced
Medium,Vegan,10.0,57,Balanced
Medium,Veg,9.3,56,Balanced
Low,Non-Veg,6.8,36,Low Carb
High,Vegan,5.4,63,High Protein
Medium,Non-Veg,8.1,32,Mediterranean
High,Non-Veg,6.3,49,Balanced
Medium,Non-Veg,8.3,66,Mediterranean
Medium,Vegan,6.3,38,Balanced
Medium,Veg,9.5,18,Balanced
Low,Non-Veg,6.2,23,Low Carb
Low,Veg,10.0,44,Balanced
Low,Veg,7.3,40,Balanced
High,Vegan,9.1,64,High Protein
High,Vegan,6.2,48,High Protein
Low,Veg,5.0,29,Balanced
High,Non-Veg,4.0,38,Balanced
Medium,Vegan,8.9,69,Balanced
Medium,Non-Veg,7.1,19,Mediterranean
Medium,Non-Veg,5.1,22,Mediterranean
Low,Non-Veg,9.0,26,Low Carb
High,Veg,8.7,37,Balanced
Low,Non-Veg,9.1,63,Low Carb
High,Veg,5.0,35,Balanced
Medium,Veg,8.9,39,Balanced
Low,Non-Veg,7.6,25,Low Carb
High,Non-Veg,9.1,51,Balanced
High,Non-Veg,7.8,26,Balanced
Medium,Non-Veg,7.3,24,Mediterranean
Low,Veg,8.9,47,Balanced
Low,Non-Veg,8.3,35,Low Carb
Low,Non-Veg,8.6,44,Low Carb
Medium,Veg,6.3,33,Balanced
Low,Vegan,6.7,38,Balanced
Medium,Vegan,4.4,22,Balanced
Medium,Veg,6.2,46,Balanced
Medium,Vegan,8.2,64,Balanced
High,Veg,7.8,54,Balanced
Low,Non-Veg,5.5,60,Low Carb
Low,Non-Veg,8.9,39,Low Carb
Medium,Vegan,10.0,31,Balanced
Medium,Non-Veg,5.6,36,Mediterranean
Low,Vegan,6.7,52,Balanced
Medium,Vegan,6.1,41,Balanced
Low,Non-Veg,6.9,59,Low Carb
High,Non-Veg,7.4,23,Balanced
Medium,Vegan,6.0,20,Balanced
Low,Non-Veg,6.6,51,Low Carb
Medium,Veg,7.1,62,Balanced
Low,Non-Veg,7.7,67,Low Carb
Low,Non-Veg,9.2,19,Low Carb
Medium,Veg,7.0,32,Balanced
High,Non-Veg,6.2,54,Balanced
Low,Non-Veg,8.0,32,Low Carb
Low,Vegan,7.6,49,Balanced
Low,Non-Veg,6.7,38,Low Carb
High,Non-Veg,7.7,34,Balanced
High,Veg,6.4,51,Balanced
Medium,Vegan,6.2,49,Balanced
High,Vegan,4.2,67,High Protein
Medium,Vegan,6.5,64,Balanced
Medium,Non-Veg,4.4,69,Mediterranean
High,Vegan,6.0,40,High Protein
Medium,Veg,7.9,52,Balanced
High,Vegan,4.7,54,High Protein
Medium,Veg,6.7,60,Balanced
High,Vegan,7.1,58,High Protein
High,Vegan,6.6,54,High Protein
Medium,Veg,6.3,50,Balanced
Low,Vegan,7.5,42,Balanced
Medium,Vegan,7.7,63,Balanced
High,Vegan,7.0,54,High Protein
Low,Non-Veg,6.4,57,Low Carb
Medium,Veg,8.3,38,Balanced
Medium,Vegan,5.0,63,Balanced
Medium,Veg,8.0,65,Balanced
Low,Veg,7.6,55,Balanced
High,Veg,7.3,57,Balanced
Medium,Vegan,7.0,51,Balanced
Medium,Vegan,4.2,36,Balanced
Medium,Veg,9.1,44,Balanced
Medium,Non-Veg,8.3,26,Mediterranean
Medium,Veg,5.6,22,Balanced
High,Non-Veg,8.1,22,Balanced
High,Veg,7.3,42,Balanced
Medium,Veg,6.1,43,Balanced
Low,Veg,8.8,36,Balanced
High,Vegan,6.4,47,High Protein
Low,Non-Veg,9.0,53,Low Carb
High,Non-Veg,7.8,65,Balanced
Medium,Veg,8.4,65,Balanced
High,Vegan,7.9,33,High Protein
Medium,Vegan,7.8,24,Balanced
High,Non-Veg,7.3,35,Balanced
Medium,Vegan,5.9,38,Balanced
Medium,Non-Veg,7.1,48,Mediterranean
Medium,Non-Veg,8.4,18,Mediterranean
Medium,Non-Veg,8.1,20,Mediterranean
Low,Vegan,7.8,48,Balanced
Medium,Non-Veg,4.0,42,Mediterranean
Low,Non-Veg,6.7,25,Low Carb
Low,Veg,6.5,18,Balanced
Medium,Non-Veg,5.3,24,Mediterranean
Low,Non-Veg,8.4,24,Low Carb
High,Veg,4.0,25,Balanced
Medium,Veg,8.3,36,Balanced
Low,Vegan,9.0,34,Balanced
Medium,Non-Veg,6.7,28,Mediterranean
Medium,Vegan,6.9,64,Balanced
Medium,Vegan,8.5,58,Balanced
Low,Veg,5.9,66,Balanced
High,Vegan,8.0,28,High Protein
High,Non-Veg,5.6,55,Balanced
Low,Veg,5.2,58,Balanced
Medium,Non-Veg,7.4,67,Mediterranean
Low,Non-Veg,7.0,69,Low Carb
Low,Veg,4.4,19,Balanced
Low,Non-Veg,9.1,21,Low Carb
Medium,Veg,6.4,67,Balanced
Low,Non-Veg,7.8,45,Low Carb
Medium,Veg,9.4,50,Balanced
Low,Vegan,7.4,28,Balanced
High,Non-Veg,8.9,20,Balanced
Low,Veg,5.7,57,Balanced
Low,Non-Veg,9.1,22,Low Carb
High,Non-Veg,5.8,69,Balanced
Medium,Non-Veg,6.1,38,Mediterranean
Medium,Veg,4.8,39,Balanced
Low,Vegan,7.4,54,Balanced
High,Vegan,7.9,28,High Protein
Medium,Vegan,8.2,61,Balanced
Low,Veg,4.9,39,Balanced
High,Vegan,7.6,58,High Protein
Medium,Veg,7.6,30,Balanced
Medium,Non-Veg,7.9,69,Mediterranean
High,Non-Veg,5.8,20,Balanced
High,Vegan,4.0,30,High Protein
High,Veg,8.1,45,Balanced
High,Non-Veg,6.8,28,Balanced
Low,Veg,7.4,28,Balanced
High,Veg,6.9,38,Balanced
Medium,Non-Veg,7.4,69,Mediterranean
Medium,Veg,8.1,38,Balanced
Low,Non-Veg,4.2,24,Low Carb
Medium,Non-Veg,8.7,34,Mediterranean
Medium,Non-Veg,6.7,65,Mediterranean
High,Veg,9.4,31,Balanced
Medium,Non-Veg,6.3,50,Mediterranean
Low,Veg,6.0,28,Balanced
High,Non-Veg,6.8,30,Balanced
High,Non-Veg,7.7,18,Balanced
Low,Vegan,6.6,51,Balanced
High,Vegan,7.9,26,High Protein
High,Vegan,6.4,30,High Protein
Low,Veg,7.1,54,Balanced
High,Veg,10.0,47,Balanced
Low,Non-Veg,7.5,58,Low Carb
Low,Non-Veg,7.7,62,Low Carb
Medium,Non-Veg,4.8,54,Mediterranean
Medium,Non-Veg,9.0,64,Mediterranean
High,Veg,8.6,24,Balanced
High,Non-Veg,5.9,31,Balanced
Low,Non-Veg,8.6,65,Low Carb
High,Vegan,7.5,23,High Protein
Low,Non-Veg,7.1,51,Low Carb
Low,Non-Veg,8.9,33,Low Carb
High,Non-Veg,6.2,68,Balanced
Low,Veg,5.9,54,Balanced
Medium,Vegan,7.3,53,Balanced
High,Non-Veg,7.8,63,Balanced
Medium,Non-Veg,8.4,23,Mediterranean
High,Vegan,6.8,25,High Protein
Low,Non-Veg,5.7,41,Low Carb
High,Veg,10.0,20,Balanced
Medium,Non-Veg,5.4,21,Mediterranean
Low,Veg,7.1,49,Balanced
High,Veg,8.2,18,Balanced
High,Non-Veg,8.7,51,Balanced
High,Vegan,6.1,62,High Protein
Medium,Veg,4.2,26,Balanced
Medium,Vegan,6.1,29,Balanced
High,Non-Veg,8.3,27,Balanced
Low,Veg,8.0,27,Balanced
Low,Non-Veg,8.0,67,Low Carb
Medium,Vegan,8.1,61,Balanced
Low,Non-Veg,9.0,65,Low Carb
Medium,Non-Veg,5.8,40,Mediterranean
High,Veg,5.2,23,Balanced
Medium,Non-Veg,7.6,41,Mediterranean
Medium,Non-Veg,5.4,41,Mediterranean
High,Non-Veg,5.1,38,Balanced
Low,Veg,8.8,59,Balanced
Medium,Vegan,7.4,48,Balanced
Medium,Vegan,7.0,64,Balanced
High,Non-Veg,7.1,58,Balanced
Low,Veg,6.8,47,Balanced
Medium,Non-Veg,8.8,51,Mediterranean
High,Vegan,4.7,35,High Protein
Medium,Veg,4.7,29,Balanced
High,Vegan,5.6,52,High Protein
Low,Vegan,7.4,24,Balanced
Low,Veg,9.7,58,Balanced
Low,Veg,8.3,57,Balanced
Low,Non-Veg,7.9,42,Low Carb
Medium,Non-Veg,6.9,23,Mediterranean
Medium,Vegan,5.0,18,Balanced
Low,Veg,7.8,63,Balanced
Low,Veg,10.0,33,Balanced
Low,Non-Veg,6.6,65,Low Carb
Medium,Vegan,6.2,21,Balanced
Low,Vegan,6.6,46,Balanced
Low,Non-Veg,7.9,55,Low Carb
Low,Veg,7.2,64,Balanced
High,Non-Veg,8.4,45,Balanced
Low,Non-Veg,6.9,39,Low Carb
High,Non-Veg,6.6,25,Balanced
High,Non-Veg,7.3,49,Balanced
Low,Veg,6.2,50,Balanced
High,Non-Veg,9.6,30,Balanced
Low,Veg,8.2,44,Balanced
Medium,Non-Veg,5.4,35,Mediterranean
Medium,Vegan,5.9,35,Balanced
Medium,Veg,7.8,30,Balanced
Medium,Vegan,7.3,39,Balanced
High,Non-Veg,7.5,31,Balanced
Low,Non-Veg,6.7,28,Low Carb
Low,Non-Veg,7.7,56,Low Carb
Low,Veg,6.7,67,Balanced
Medium,Vegan,7.8,39,Balanced
Medium,Veg,8.2,53,Balanced
Low,Veg,9.4,34,Balanced
Medium,Non-Veg,6.2,68,Mediterranean
Low,Vegan,7.0,49,Balanced
Low,Non-Veg,5.2,31,Low Carb
Low,Veg,9.7,59,Balanced
Low,Non-Veg,4.0,46,Low Carb
Low,Vegan,9.5,23,Balanced
Low,Non-Veg,7.1,67,Low Carb
Low,Vegan,7.6,21,Balanced
Medium,Vegan,6.8,28,Balanced
Low,Non-Veg,7.0,62,Low Carb
Low,Veg,7.9,57,Balanced
Medium,Non-Veg,4.5,27,Mediterranean
Medium,Veg,6.0,45,Balanced
Medium,Veg,5.7,28,Balanced
Low,Non-Veg,7.7,52,Low Carb
High,Veg,7.0,32,Balanced
High,Veg,7.9,25,Balanced
Medium,Non-Veg,7.2,37,Mediterranean
High,Non-Veg,8.6,67,Balanced
Medium,Non-Veg,5.9,38,Mediterranean
Low,Veg,7.1,18,Balanced
High,Vegan,8.7,46,High Protein
Low,Veg,8.4,41,Balanced
High,Vegan,4.8,47,High Protein
Low,Non-Veg,5.5,57,Low Carb
High,Vegan,6.9,52,High Protein
Low,Non-Veg,6.6,50,Low Carb
Low,Non-Veg,6.9,37,Low Carb
High,Vegan,8.2,33,High Protein
Low,Non-Veg,7.4,26,Low Carb
Low,Vegan,7.5,48,Balanced
Low,Non-Veg,8.0,34,Low Carb
High,Veg,8.6,48,Balanced
High,Veg,4.0,65,Balanced
Low,Non-Veg,6.4,40,Low Carb
Low,Non-Veg,5.7,23,Low Carb
High,Vegan,7.7,47,High Protein
High,Veg,6.3,24,Balanced
Low,Vegan,7.1,65,Balanced
Low,Non-Veg,8.3,57,Low Carb
Low,Non-Veg,6.1,59,Low Carb
Medium,Vegan,7.5,63,Balanced
High,Non-Veg,9.3,28,Balanced
Medium,Veg,8.2,51,Balanced
High,Vegan,4.6,29,High Protein
High,Veg,6.6,69,Balanced
High,Veg,7.5,69,Balanced
High,Veg,7.8,62,Balanced
High,Vegan,6.6,64,High Protein
High,Non-Veg,6.0,44,Balanced
High,Veg,7.1,29,Balanced
Medium,Veg,5.4,30,Balanced
Low,Veg,8.6,25,Balanced
Low,Non-Veg,9.8,33,Low Carb
Medium,Non-Veg,7.6,46,Mediterranean
Medium,Vegan,6.7,52,Balanced
Medium,Non-Veg,8.4,46,Mediterranean
Medium,Vegan,8.2,48,Balanced
High,Vegan,6.6,30,High Protein
Low,Vegan,6.9,29,Balanced
High,Vegan,6.1,68,High Protein
Low,Vegan,7.2,19,Balanced
Low,Veg,7.4,50,Balanced
Medium,Non-Veg,5.8,25,Mediterranean
High,Veg,5.4,58,Balanced
Medium,Vegan,5.0,57,Balanced
High,Non-Veg,7.6,66,Balanced
Low,Veg,7.0,58,Balanced
Medium,Veg,6.9,49,Balanced
Medium,Vegan,7.7,55,Balanced
Low,Veg,5.6,45,Balanced
Low,Veg,5.4,32,Balanced
Low,Veg,7.4,40,Balanced
Medium,Veg,4.4,41,Balanced
High,Veg,6.6,30,Balanced
Medium,Vegan,10.0,38,Balanced
High,Vegan,5.0,29,High Protein
Medium,Veg,6.4,30,Balanced
Medium,Vegan,4.0,56,Balanced
Low,Vegan,6.6,40,Balanced
High,Non-Veg,9.9,67,Balanced
Medium,Veg,7.7,63,Balanced
Medium,Vegan,6.1,60,Balanced
Low,Vegan,10.0,45,Balanced
Low,Veg,4.4,31,Balanced
High,Non-Veg,7.7,34,Balanced
Medium,Veg,7.1,41,Balanced
High,Non-Veg,6.6,51,Balanced
Medium,Veg,8.2,68,Balanced
High,Veg,5.2,65,Balanced
Low,Veg,7.5,39,Balanced
Medium,Veg,7.3,27,Balanced
High,Non-Veg,5.7,25,Balanced
Low,Non-Veg,9.9,38,Low Carb
Low,Vegan,6.7,54,Balanced
High,Veg,6.8,24,Balanced
Medium,Non-Veg,5.5,43,Mediterranean
Medium,Non-Veg,6.8,30,Mediterranean
Low,Non-Veg,10.0,33,Low Carb
Medium,Veg,6.6,47,Balanced
Medium,Vegan,7.8,48,Balanced
Medium,Non-Veg,8.4,22,Mediterranean
Low,Veg,6.7,49,Balanced
High,Non-Veg,6.4,33,Balanced
Medium,Non-Veg,7.7,64,Mediterranean
Low,Vegan,6.6,26,Balanced
Low,Non-Veg,6.5,39,Low Carb
High,Non-Veg,8.4,61,Balanced
Medium,Veg,6.9,57,Balanced
Medium,Veg,8.8,62,Balanced
High,Vegan,6.9,54,High Protein
High,Veg,5.0,31,Balanced
Low,Veg,4.0,33,Balanced
Low,Vegan,4.2,60,Balanced
High,Non-Veg,4.5,37,Balanced
Medium,Vegan,7.4,61,Balanced
Low,Veg,5.5,32,Balanced
Low,Vegan,4.0,61,Balanced
Medium,Non-Veg,6.8,43,Mediterranean
Low,Vegan,5.4,26,Balanced
Medium,Veg,7.7,18,Balanced
Medium,Veg,7.7,52,Balanced
Medium,Vegan,7.8,61,Balanced
High,Non-Veg,4.0,37,Balanced
High,Vegan,7.1,62,High Protein
High,Non-Veg,6.8,23,Balanced
Medium,Non-Veg,5.2,59,Mediterranean
Medium,Vegan,4.0,27,Balanced
High,Non-Veg,6.8,65,Balanced
Low,Veg,8.6,50,Balanced
Medium,Vegan,4.0,33,Balanced
Low,Non-Veg,5.8,53,Low Carb
Low,Veg,7.2,23,Balanced
Medium,Vegan,8.7,36,Balanced
Medium,Veg,6.5,48,Balanced
Low,Veg,9.9,19,Balanced
Low,Veg,4.3,35,Balanced
High,Non-Veg,4.0,59,Balanced
High,Vegan,8.5,45,High Protein
Medium,Vegan,4.0,21,Balanced
High,Non-Veg,7.7,18,Balanced
High,Vegan,6.6,64,High Protein
High,Veg,5.6,59,Balanced
High,Vegan,6.4,67,High Protein
Low,Non-Veg,5.1,33,Low Carb
Medium,Veg,6.5,62,Balanced
High,Non-Veg,7.0,64,Balanced
Low,Veg,6.4,19,Balanced
Low,Veg,6.1,69,Balanced
Low,Vegan,7.4,53,Balanced
High,Veg,9.5,18,Balanced
High,Non-Veg,6.6,56,Balanced
Medium,Vegan,8.2,40,Balanced
High,Non-Veg,5.6,43,Balanced
High,Veg,5.0,28,Balanced
Low,Non-Veg,7.7,59,Low Carb
Medium,Non-Veg,6.6,18,Mediterranean
High,Veg,8.7,28,Balanced
High,Vegan,9.0,41,High Protein
